Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
6/29/2017 19:16,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 19:21,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 19:21,VR2W-109191,A69-1601-46833,,,,,OCSD_Ref10,33.60199,-118.08996
6/29/2017 19:23,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 19:23,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 19:23,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 19:23,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 19:23,VR2W-109191,A69-1601-46833,,,,,OCSD_Ref10,33.60199,-118.08996
6/29/2017 19:23,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 19:25,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 19:25,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 19:25,VR2W-109164,A69-1601-46833,,,,,OCSD_Ref11,33.60380,-118.08503
6/29/2017 19:25,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 19:25,VR2W-122195,A69-1601-46833,,,,,OCSD_Ref5,33.60461,-118.09630
6/29/2017 19:25,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 19:27,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 19:27,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 19:27,VR2W-109164,A69-1601-46833,,,,,OCSD_Ref11,33.60380,-118.08503
6/29/2017 19:27,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 19:34,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 19:35,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 19:40,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 19:40,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 19:40,VR2W-109164,A69-1601-46833,,,,,OCSD_Ref11,33.60380,-118.08503
6/29/2017 19:40,VR2W-122195,A69-1601-46833,,,,,OCSD_Ref5,33.60461,-118.09630
6/29/2017 19:40,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 19:40,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 19:43,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 19:47,VR2W-109167,A69-1601-46833,,,,,OCSD_Ref4,33.61451,-118.08290
6/29/2017 19:49,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 19:53,VR2W-109167,A69-1601-46833,,,,,OCSD_Ref4,33.61451,-118.08290
6/29/2017 20:00,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:00,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 20:00,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:00,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 20:07,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:07,VR2W-122195,A69-1601-46833,,,,,OCSD_Ref5,33.60461,-118.09630
6/29/2017 20:07,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 20:07,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 20:12,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:12,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:12,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 20:12,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 20:17,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:21,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:21,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:21,VR2W-122195,A69-1601-46833,,,,,OCSD_Ref5,33.60461,-118.09630
6/29/2017 20:21,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 20:26,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:26,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:26,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 20:33,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:33,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:33,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 20:33,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 20:35,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:35,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:35,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 20:37,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:37,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:43,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:43,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:43,VR2W-109167,A69-1601-46833,,,,,OCSD_Ref4,33.61451,-118.08290
6/29/2017 20:46,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:46,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:46,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 20:49,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:49,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:51,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 20:51,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 20:51,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 20:58,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 21:05,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 21:08,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 21:10,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 21:10,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 21:12,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 21:12,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 21:15,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 21:18,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 21:18,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 21:21,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 21:21,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 21:23,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 21:23,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 21:32,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 21:38,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 21:38,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 21:38,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 21:53,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 21:55,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 21:55,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 21:58,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 22:01,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 22:01,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 22:03,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 22:03,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 22:03,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 22:05,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 22:07,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 22:08,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 22:10,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 22:12,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 22:14,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 22:14,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 22:17,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 22:22,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 22:22,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 22:22,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 22:25,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 22:25,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 22:25,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 22:27,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 22:27,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 22:27,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 22:29,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 22:29,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 22:29,VR2W-122195,A69-1601-46833,,,,,OCSD_Ref5,33.60461,-118.09630
6/29/2017 22:29,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 22:29,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 22:32,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 22:32,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 22:32,VR2W-109155,A69-1601-46833,,,,,OCSD_Ref3,33.61269,-118.08784
6/29/2017 22:35,VR2W-109172,A69-1601-46833,,,,,OCSD_Ref2,33.61088,-118.09277
6/29/2017 22:35,VR2W-112754,A69-1601-46833,,,,,OCSD_Ref1,33.60906,-118.09771
6/29/2017 22:37,VR2W-109194,A69-1601-46833,,,,,OCSD_Ref6,33.60643,-118.09136
6/29/2017 22:37,VR2W-109198,A69-1601-46833,,,,,OCSD_Ref7,33.60824,-118.08643
6/29/2017 22:40,VR2W-109191,A69-1601-46833,,,,,OCSD_Ref10,33.60199,-118.08996
