Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
6/16/2017 16:04,VR2W-109170,A69-1601-46801,,,,,OCSD_9,33.58332,-117.9944
6/16/2017 16:07,VR2W-109200,A69-1601-46801,,,,,OCSD_13,33.58116,-118.0019
6/16/2017 16:07,VR2W-103958,A69-1601-46801,,,,,OCSD_8,33.58512,-117.9993
6/16/2017 16:07,VR2W-109170,A69-1601-46801,,,,,OCSD_9,33.58332,-117.9944
6/16/2017 16:10,VR2W-129790,A69-1601-46801,,,,,OCSD_4,33.58729,-117.9919
6/16/2017 16:13,VR2W-109175,A69-1601-46801,,,,,OCSD_3,33.58909,-117.9968
6/16/2017 16:15,VR2W-109175,A69-1601-46801,,,,,OCSD_3,33.58909,-117.9968
6/16/2017 16:17,VR2W-109156,A69-1601-46801,,,,,OCSD_15,33.57755,-117.9920
6/16/2017 16:17,VR2W-109200,A69-1601-46801,,,,,OCSD_13,33.58116,-118.0019
6/16/2017 16:17,VR2W-109170,A69-1601-46801,,,,,OCSD_9,33.58332,-117.9944
6/16/2017 16:17,VR2W-100162,A69-1601-46801,,,,,OCSD_7,33.58693,-118.0043
6/16/2017 16:17,VR2W-129790,A69-1601-46801,,,,,OCSD_4,33.58729,-117.9919
6/16/2017 16:19,VR2W-109200,A69-1601-46801,,,,,OCSD_13,33.58116,-118.0019
6/16/2017 16:19,VR2W-129790,A69-1601-46801,,,,,OCSD_4,33.58729,-117.9919
6/16/2017 16:20,VR2W-109200,A69-1601-46801,,,,,OCSD_13,33.58116,-118.0019
6/16/2017 16:21,VR2W-103958,A69-1601-46801,,,,,OCSD_8,33.58512,-117.9993
6/16/2017 16:21,VR2W-109170,A69-1601-46801,,,,,OCSD_9,33.58332,-117.9944
6/16/2017 16:21,VR2W-100162,A69-1601-46801,,,,,OCSD_7,33.58693,-118.0043
6/16/2017 16:21,VR2W-129790,A69-1601-46801,,,,,OCSD_4,33.58729,-117.9919
6/16/2017 16:21,VR2W-109175,A69-1601-46801,,,,,OCSD_3,33.58909,-117.9968
6/16/2017 16:22,VR2W-103958,A69-1601-46801,,,,,OCSD_8,33.58512,-117.9993
6/16/2017 16:24,VR2W-109200,A69-1601-46801,,,,,OCSD_13,33.58116,-118.0019
6/16/2017 16:24,VR2W-103958,A69-1601-46801,,,,,OCSD_8,33.58512,-117.9993
6/16/2017 16:24,VR2W-109170,A69-1601-46801,,,,,OCSD_9,33.58332,-117.9944
6/16/2017 16:26,VR2W-109170,A69-1601-46801,,,,,OCSD_9,33.58332,-117.9944
6/16/2017 16:26,VR2W-109175,A69-1601-46801,,,,,OCSD_3,33.58909,-117.9968
6/16/2017 16:29,VR2W-103958,A69-1601-46801,,,,,OCSD_8,33.58512,-117.9993
6/16/2017 16:29,VR2W-109170,A69-1601-46801,,,,,OCSD_9,33.58332,-117.9944
6/16/2017 16:31,VR2W-103958,A69-1601-46801,,,,,OCSD_8,33.58512,-117.9993
6/16/2017 16:31,VR2W-100162,A69-1601-46801,,,,,OCSD_7,33.58693,-118.0043
