Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
6/20/2017 15:27,VR2W-104919,A69-1601-46826,,,,,OCSD_23,33.5732,-118.0069
6/20/2017 15:38,VR2W-104919,A69-1601-46826,,,,,OCSD_23,33.5732,-118.0069
6/20/2017 15:38,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 15:41,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 15:43,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 15:43,VR2W-109188,A69-1601-46826,,,,,OCSD_18,33.5772,-118.0044
6/20/2017 15:46,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 15:46,VR2W-109188,A69-1601-46826,,,,,OCSD_18,33.5772,-118.0044
6/20/2017 15:48,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 15:50,VR2W-109188,A69-1601-46826,,,,,OCSD_18,33.5772,-118.0044
6/20/2017 16:05,VR2W-104919,A69-1601-46826,,,,,OCSD_23,33.5732,-118.0069
6/20/2017 16:05,VR2W-109201,A69-1601-46826,,,,,OCSD_20,33.5736,-117.9945
6/20/2017 16:05,VR2W-109188,A69-1601-46826,,,,,OCSD_18,33.5772,-118.0044
6/20/2017 16:10,VR2W-129791,A69-1601-46826,,,,,OCSD_12,33.5830,-118.0069
6/20/2017 16:16,VR2W-109200,A69-1601-46826,,,,,OCSD_13,33.5812,-118.0019
6/20/2017 16:20,VR2W-109200,A69-1601-46826,,,,,OCSD_13,33.5812,-118.0019
6/20/2017 16:20,VR2W-104919,A69-1601-46826,,,,,OCSD_23,33.5732,-118.0069
6/20/2017 16:29,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 16:29,VR2W-109201,A69-1601-46826,,,,,OCSD_20,33.5736,-117.9945
6/20/2017 16:32,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 16:34,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 16:37,VR2W-104919,A69-1601-46826,,,,,OCSD_23,33.5732,-118.0069
6/20/2017 16:37,VR2W-103955,A69-1601-46826,,,,,OCSD_17,33.5790,-118.0094
6/20/2017 16:37,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 16:37,VR2W-109201,A69-1601-46826,,,,,OCSD_20,33.5736,-117.9945
6/20/2017 16:37,VR2W-109188,A69-1601-46826,,,,,OCSD_18,33.5772,-118.0044
6/20/2017 16:42,VR2W-109200,A69-1601-46826,,,,,OCSD_13,33.5812,-118.0019
6/20/2017 16:42,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 16:44,VR2W-109200,A69-1601-46826,,,,,OCSD_13,33.5812,-118.0019
6/20/2017 16:45,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 16:47,VR2W-109200,A69-1601-46826,,,,,OCSD_13,33.5812,-118.0019
6/20/2017 16:48,VR2W-109186,A69-1601-46826,,,,,OCSD_24,33.5714,-118.0020
6/20/2017 16:48,VR2W-109201,A69-1601-46826,,,,,OCSD_20,33.5736,-117.9945
6/20/2017 16:50,VR2W-109201,A69-1601-46826,,,,,OCSD_20,33.5736,-117.9945
6/20/2017 16:50,VR2W-109188,A69-1601-46826,,,,,OCSD_18,33.5772,-118.0044
