"X","times","LON","LAT"
1,"2017-06-16 16:16:00",-117.998634519897,33.5848449406673
2,"2017-06-16 16:17:00",-117.998207385106,33.5845040642703
3,"2017-06-16 16:18:00",-117.998273941333,33.5841405266085
4,"2017-06-16 16:19:00",-117.997836775165,33.5841777203911
5,"2017-06-16 16:20:00",-117.997567819054,33.5838868788404
6,"2017-06-16 16:21:00",-117.997148559661,33.5837767630028
7,"2017-06-16 16:22:00",-117.997509206143,33.5839868782247
8,"2017-06-16 16:23:00",-117.997811963608,33.5837203239665
9,"2017-06-16 16:24:00",-117.998242382254,33.5837943716072
10,"2017-06-16 16:25:00",-117.99854511538,33.5840609454315
11,"2017-06-16 16:26:00",-117.998697740931,33.5837160623408
12,"2017-06-16 16:27:00",-117.998260577085,33.5837532576232
13,"2017-06-16 16:28:00",-117.997991593836,33.58404408133
14,"2017-06-16 16:29:00",-117.998395406882,33.5838990573028
15,"2017-06-16 16:30:00",-117.99862783089,33.5842111789443
16,"2017-06-16 16:31:00",-117.998780430741,33.5845560702435
17,"2017-06-16 16:32:00",-117.99884695809,33.5849196116246
18,"2017-06-16 16:33:00",-117.998513552117,33.5846800403504
19,"2017-06-16 16:34:00",-117.998874220946,33.5844699485565
20,"2017-06-16 16:35:00",-117.998851978073,33.5841026392062
21,"2017-06-16 16:36:00",-117.998582995724,33.584393464182
22,"2017-06-16 16:37:00",-117.998249571661,33.5846330167567
23,"2017-06-16 16:38:00",-117.997916145755,33.5848725684238
24,"2017-06-16 16:39:00",-117.998355568356,33.584872582272
25,"2017-06-16 16:40:00",-117.998086581953,33.5851634061325
26,"2017-06-16 16:41:00",-117.998239211268,33.584818523669
27,"2017-06-16 16:42:00",-117.997905807363,33.5845789507536
28,"2017-06-16 16:43:00",-117.998208565676,33.5843123955508
29,"2017-06-16 16:44:00",-117.997875163802,33.5840728225332
30,"2017-06-16 16:45:00",-117.99831458235,33.5840728365268
31,"2017-06-16 16:46:00",-117.99867523289,33.5842829483408
32,"2017-06-16 16:47:00",-117.998741786985,33.5839194104143
33,"2017-06-16 16:48:00",-117.998894386777,33.5842643015893
34,"2017-06-16 16:49:00",-117.998510174607,33.5844427760838
35,"2017-06-16 16:50:00",-117.998090901355,33.5845528635312
36,"2017-06-16 16:51:00",-117.997897398625,33.5842226619464
37,"2017-06-16 16:52:00",-117.997460235793,33.5841854388406
38,"2017-06-16 16:53:00",-117.997191280921,33.583894596472
39,"2017-06-16 16:54:00",-117.997169004318,33.5842619044003
40,"2017-06-16 16:55:00",-117.996784788608,33.5844403735383
41,"2017-06-16 16:56:00",-117.996762554595,33.584073063811
42,"2017-06-16 16:57:00",-117.996829073112,33.5844366063049
43,"2017-06-16 16:58:00",-117.996444878836,33.5842581048708
44,"2017-06-16 16:59:00",-117.996111482044,33.5840185271001
45,"2017-06-16 17:00:00",-117.996089250992,33.5836512172269
46,"2017-06-16 17:01:00",-117.996449921416,33.5834411324632
47,"2017-06-16 17:02:00",-117.99660255421,33.5830962519221
48,"2017-06-16 17:03:00",-117.996165397614,33.5830590242358
49,"2017-06-16 17:04:00",-117.995728235995,33.583096210577
50,"2017-06-16 17:05:00",-117.995344049926,33.5829177056871
51,"2017-06-16 17:06:00",-117.994959865438,33.5827391995996
52,"2017-06-16 17:07:00",-117.99462647859,33.5824996177699
53,"2017-06-16 17:08:00",-117.995056888455,33.5825736765036
54,"2017-06-16 17:09:00",-117.994619728808,33.5826108589321
55,"2017-06-16 17:10:00",-117.994350788349,33.582320010317
56,"2017-06-16 17:11:00",-117.994711457448,33.5821099305744
57,"2017-06-16 17:12:00",-117.994442467392,33.5824007466444
58,"2017-06-16 17:13:00",-117.994803136605,33.5821906666374
59,"2017-06-16 17:14:00",-117.994383869537,33.5823007415664
60,"2017-06-16 17:15:00",-117.994114930831,33.5820098924242
61,"2017-06-16 17:16:00",-117.993781549123,33.5817703082904
62,"2017-06-16 17:17:00",-117.994220956,33.5817703368182
63,"2017-06-16 17:18:00",-117.994523715834,33.5815037905087
64,"2017-06-16 17:19:00",-117.994104471831,33.5813936643168
65,"2017-06-16 17:20:00",-117.993720262523,33.581572124024
66,"2017-06-16 17:21:00",-117.993786766366,33.5819356682994
67,"2017-06-16 17:22:00",-117.994217172713,33.5820097299601
68,"2017-06-16 17:23:00",-117.994194950201,33.5816424196276
69,"2017-06-16 17:24:00",-117.994427407665,33.5813303189046
70,"2017-06-16 17:25:00",-117.994093983901,33.5815698604024
71,"2017-06-16 17:26:00",-117.993760603942,33.5813302761952
72,"2017-06-16 17:27:00",-117.993913179362,33.5816751736554
73,"2017-06-16 17:28:00",-117.994215939809,33.5814086280948
74,"2017-06-16 17:29:00",-117.994518698395,33.5811420817819
75,"2017-06-16 17:30:00",-117.994099456147,33.5810319555666
76,"2017-06-16 17:31:00",-117.993680214965,33.5809218279292
77,"2017-06-16 17:32:00",-117.993657995005,33.5805545174357
78,"2017-06-16 17:33:00",-117.994018619625,33.580764642938
79,"2017-06-16 17:34:00",-117.994171257378,33.5804197652464
80,"2017-06-16 17:35:00",-117.993751998071,33.5805298380666
81,"2017-06-16 17:36:00",-117.993332759758,33.5804197092433
82,"2017-06-16 17:37:00",-117.993763158192,33.5804937725008
83,"2017-06-16 17:38:00",-117.993915796484,33.5801488951091
84,"2017-06-16 17:39:00",-117.993531627205,33.5799703845086
85,"2017-06-16 17:40:00",-117.993338085979,33.5803005666168
86,"2017-06-16 17:41:00",-117.993570542929,33.5799884674355
87,"2017-06-16 17:42:00",-117.99318633875,33.5801669255259
